text,bbox
your,"[[ 90.  16.]
 [185.  16.]
 [185.  46.]
 [ 90.  46.]]"
choice,"[[190.  16.]
 [320.  16.]
 [320.  46.]
 [190.  46.]]"
didunnus,"[[236.  56.]
 [319.  56.]
 [319.  72.]
 [236.  72.]]"
bale,"[[ 78.  57.]
 [127.  57.]
 [127.  72.]
 [ 78.  72.]]"
sbeicuusive,"[[153.59622   53.307007]
 [327.8382    59.529938]
 [326.55792   95.377075]
 [152.31595   89.154144]]"
1290,"[[ 67.  72.]
 [128.  72.]
 [128.  95.]
 [ 67.  95.]]"
sggg,"[[126.11229 106.78145]
 [244.30682 108.08028]
 [243.66084 166.8644 ]
 [125.46632 165.56557]]"
sash,"[[194. 148.]
 [238. 148.]
 [238. 166.]
 [194. 166.]]"
chafton,"[[ 32. 190.]
 [153. 190.]
 [153. 214.]
 [ 32. 214.]]"
tools,"[[169. 190.]
 [234. 190.]
 [234. 212.]
 [169. 212.]]"
eacceresin,"[[ 32. 215.]
 [192. 215.]
 [192. 237.]
 [ 32. 237.]]"
tos,"[[ 32. 240.]
 [105. 240.]
 [105. 259.]
 [ 32. 259.]]"
duan,"[[106. 242.]
 [174. 242.]
 [174. 257.]
 [106. 257.]]"
tdte,"[[ 32.999992 264.99997 ]
 [102.99998  264.99997 ]
 [102.99998  279.99997 ]
 [ 32.999992 279.99997 ]]"
de,"[[ 33. 288.]
 [ 65. 288.]
 [ 65. 300.]
 [ 33. 300.]]"
