text,bbox
your,"[[114.  34.]
 [208.  34.]
 [208.  60.]
 [114.  60.]]"
choice,"[[214.  34.]
 [338.  34.]
 [338.  59.]
 [214.  59.]]"
bale,"[[102.10658   68.05693 ]
 [152.31314   69.413864]
 [151.88467   85.26715 ]
 [101.67811   83.91022 ]]"
45,"[[176.965    66.56031]
 [224.28018  69.51751]
 [222.31131 101.01946]
 [174.99612  98.06226]]"
eralm,"[[217.  71.]
 [309.  71.]
 [309. 100.]
 [217. 100.]]"
zan,"[[ 93.  83.]
 [153.  83.]
 [153. 104.]
 [ 93. 104.]]"
s1999,"[[131.12027 115.80612]
 [279.2452  117.0614 ]
 [278.73758 176.96387]
 [130.61264 175.70859]]"
oaced,"[[233. 158.]
 [274. 158.]
 [274. 175.]
 [233. 175.]]"
dewalt,"[[ 58. 191.]
 [164. 191.]
 [164. 214.]
 [ 58. 214.]]"
blndn,"[[227.43759 189.53987]
 [298.1278  193.19627]
 [296.9271  216.41002]
 [226.2369  212.75362]]"
bit,"[[300. 192.]
 [335. 192.]
 [335. 213.]
 [300. 213.]]"
sels,"[[337. 192.]
 [387. 192.]
 [387. 214.]
 [337. 214.]]"
saw,"[[173. 193.]
 [223. 193.]
 [223. 213.]
 [173. 213.]]"
oy,"[[390. 196.]
 [416. 196.]
 [416. 213.]
 [390. 213.]]"
right,"[[ 58. 215.]
 [122. 215.]
 [122. 240.]
 [ 58. 240.]]"
anglo,"[[126. 216.]
 [193. 216.]
 [193. 241.]
 [126. 241.]]"
attachmcit,"[[196. 216.]
 [329. 216.]
 [329. 238.]
 [196. 238.]]"
1o,"[[ 67. 240.]
 [ 89. 240.]
 [ 89. 257.]
 [ 67. 257.]]"
