text,bbox
kour,"[[ 6.4010620e-03  1.1760162e+01]
 [ 9.0581993e+01  1.4175526e+01]
 [ 8.9765854e+01  4.4780426e+01]
 [-8.0973637e-01  4.2365063e+01]]"
choice,"[[ 96.  13.]
 [227.  13.]
 [227.  43.]
 [ 96.  43.]]"
sale,"[[ 75.  56.]
 [145.  56.]
 [145.  76.]
 [ 75.  76.]]"
s4999,"[[ 16.109238  92.80083 ]
 [180.25336   94.06349 ]
 [179.77206  156.62901 ]
 [ 15.627951 155.36635 ]]"
prolit,"[[ 25.706345 181.08678 ]
 [112.89603  179.65742 ]
 [113.29877  204.2246  ]
 [ 26.109085 205.65395 ]]"
a,"[[  2. 181.]
 [ 25. 181.]
 [ 25. 202.]
 [  2. 202.]]"
led,"[[112. 181.]
 [164. 181.]
 [164. 203.]
 [112. 203.]]"
potted,"[[  1.73452   206.0711   ]
 [ 81.87892   204.73535  ]
 [ 82.2777    228.66205  ]
 [  2.1333008 229.9978   ]]"
pime,"[[ 83.27556 204.38649]
 [139.7608  206.74004]
 [138.78334 230.1993 ]
 [ 82.29809 227.84575]]"
tree,"[[145. 206.]
 [197. 206.]
 [197. 227.]
 [145. 227.]]"
