text,bbox
choice,"[[160.  22.]
 [287.  22.]
 [287.  52.]
 [160.  52.]]"
your,"[[ 57.  23.]
 [154.  23.]
 [154.  53.]
 [ 57.  53.]]"
sale,"[[131.  66.]
 [204.  66.]
 [204.  88.]
 [131.  88.]]"
199,"[[ 81.20088  102.64554 ]
 [233.42085  105.12067 ]
 [232.39397  168.27472 ]
 [ 80.173996 165.79959 ]]"
coeh,"[[183. 144.]
 [227. 144.]
 [227. 166.]
 [183. 166.]]"
miymulee,"[[ 58. 187.]
 [187. 187.]
 [187. 209.]
 [ 58. 209.]]"
taoln,"[[203. 187.]
 [265. 187.]
 [265. 207.]
 [203. 207.]]"
accossones,"[[ 80.04704 208.87201]
 [221.15443 210.16656]
 [220.9543  231.98123]
 [ 79.84691 230.68668]]"
se,"[[ 68.48869 238.26245]
 [115.61992 236.0181 ]
 [116.4525  253.50226]
 [ 69.32127 255.74661]]"
ouer,"[[176.11638 236.6247 ]
 [222.37172 238.2197 ]
 [221.8456  253.47742]
 [175.59026 251.88242]]"
e,"[[119. 238.]
 [174. 238.]
 [174. 254.]
 [119. 254.]]"
cl,"[[113. 257.]
 [138. 257.]
 [138. 272.]
 [113. 272.]]"
ceu,"[[ 67. 258.]
 [112. 258.]
 [112. 273.]
 [ 67. 273.]]"
