text,bbox
fuplll,"[[ 83.  39.]
 [145.  39.]
 [145.  62.]
 [ 83.  62.]]"
relil,"[[147.  39.]
 [220.  39.]
 [220.  62.]
 [147.  62.]]"
5990o,"[[ 45.061478  73.85492 ]
 [242.17543   75.04956 ]
 [241.80638  135.94427 ]
 [ 44.692425 134.74963 ]]"
cos,"[[193. 116.]
 [236. 116.]
 [236. 134.]
 [193. 134.]]"
weber,"[[ 34. 154.]
 [118. 154.]
 [118. 178.]
 [ 34. 178.]]"
genesis,"[[121.00001 153.99998]
 [213.      153.99998]
 [213.      176.99998]
 [121.00001 176.99998]]"
d,"[[225. 157.]
 [241. 157.]
 [241. 175.]
 [225. 175.]]"
grill,"[[151.59329 179.13864]
 [205.89093 177.7464 ]
 [206.48752 201.01315]
 [152.18988 202.4054 ]]"
ejno,"[[ 32.       178.99998 ]
 [ 96.999985 178.99998 ]
 [ 96.999985 199.99998 ]
 [ 32.       199.99998 ]]"
gas,"[[107. 179.]
 [151. 179.]
 [151. 201.]
 [107. 201.]]"
slunes,"[[ 34. 204.]
 [113. 204.]
 [113. 221.]
 [ 34. 221.]]"
udns,"[[ 43.47309  224.21906 ]
 [ 96.98007  227.95209 ]
 [ 95.82238  244.54575 ]
 [ 42.315395 240.81271 ]]"
cetnaee,"[[155.2556  224.61021]
 [252.46007 228.4984 ]
 [251.76839 245.79073]
 [154.56392 241.90254]]"
wo,"[[120. 227.]
 [156. 227.]
 [156. 242.]
 [120. 242.]]"
oys,"[[ 43.238937 244.41595 ]
 [ 99.78761  248.18585 ]
 [ 98.5177   267.2345  ]
 [ 41.969025 263.4646  ]]"
dor,"[[ 97. 245.]
 [141. 245.]
 [141. 262.]
 [ 97. 262.]]"
cunrne,"[[191. 246.]
 [268. 246.]
 [268. 263.]
 [191. 263.]]"
wle,"[[141. 247.]
 [191. 247.]
 [191. 262.]
 [141. 262.]]"
s,"[[ 71. 268.]
 [ 89. 268.]
 [ 89. 272.]
 [ 71. 272.]]"
l,"[[112. 268.]
 [142. 268.]
 [142. 272.]
 [112. 272.]]"
,"[[150. 268.]
 [168. 268.]
 [168. 272.]
 [150. 272.]]"
s,"[[141. 269.]
 [149. 269.]
 [149. 272.]
 [141. 272.]]"
