text,bbox
choice,"[[132.64194   17.083721]
 [254.84647   15.174274]
 [255.3129    45.02636 ]
 [133.10837   46.935806]]"
your,"[[ 33.999992  16.999998]
 [127.99998   17.      ]
 [127.99998   45.999992]
 [ 33.999992  45.999992]]"
sale,"[[104.  56.]
 [172.  56.]
 [172.  78.]
 [104.  78.]]"
5999,"[[ 51.185913  90.6588  ]
 [201.47339   93.12253 ]
 [200.47797  153.84392 ]
 [ 50.190483 151.38019 ]]"
ecl,"[[154. 132.]
 [196. 132.]
 [196. 152.]
 [154. 152.]]"
aptelitled,"[[ 32. 165.]
 [182. 165.]
 [182. 188.]
 [ 32. 188.]]"
color,"[[ 32.12561  189.60359 ]
 [102.41109  191.61174 ]
 [101.80342  212.88008 ]
 [ 31.517946 210.87193 ]]"
changing,"[[ 99.14795 189.45389]
 [209.34088 191.61453]
 [208.82397 217.97696]
 [ 98.63104 215.81631]]"
splial,"[[152.13438 211.74321]
 [223.3322  213.06169]
 [222.79741 241.94069]
 [151.5996  240.62221]]"
slralght,"[[ 31. 213.]
 [125. 213.]
 [125. 240.]
 [ 31. 240.]]"
or,"[[127. 217.]
 [151. 217.]
 [151. 235.]
 [127. 235.]]"
riban,"[[ 32.08956  235.52182 ]
 [113.37705  237.14755 ]
 [112.92924  259.53857 ]
 [ 31.641745 257.91284 ]]"
trce,"[[116. 237.]
 [165. 237.]
 [165. 259.]
 [116. 259.]]"
lior,"[[ 42.160553 259.89896 ]
 [100.46228  261.4332  ]
 [ 99.96678  280.26224 ]
 [ 41.665054 278.728   ]]"
satod,"[[104. 262.]
 [165. 262.]
 [165. 279.]
 [104. 279.]]"
