text,bbox
170,"[[152.  51.]
 [217.  51.]
 [217.  81.]
 [152.  81.]]"
madod,"[[ 69.  57.]
 [141.  57.]
 [141.  77.]
 [ 69.  77.]]"
s27900,"[[ 92.07126   96.88275 ]
 [290.17032   98.048065]
 [289.80197  160.66943 ]
 [ 91.70292  159.50412 ]]"
dewalt,"[[ 29.791977 174.5263  ]
 [133.90817  173.28683 ]
 [134.17784  195.93839 ]
 [ 30.061646 197.17786 ]]"
volt,"[[179.99998 173.99998]
 [226.99998 173.99998]
 [226.99998 194.99998]
 [179.99998 194.99998]]"
max,"[[230. 174.]
 [292. 174.]
 [292. 196.]
 [230. 196.]]"
20,"[[145. 175.]
 [174. 175.]
 [174. 195.]
 [145. 195.]]"
atoolcombo,"[[ 30. 197.]
 [188. 197.]
 [188. 219.]
 [ 30. 219.]]"
kit,"[[189.19174 198.21857]
 [227.7938  196.46393]
 [228.81442 218.91754]
 [190.21237 220.67218]]"
motsst,"[[198.8091  224.82884]
 [296.90442 223.40718]
 [297.15875 240.95421]
 [199.0634  242.37587]]"
ceeac,"[[296. 225.]
 [352. 225.]
 [352. 240.]
 [296. 240.]]"
s,"[[161. 229.]
 [196. 229.]
 [196. 240.]
 [161. 240.]]"
e,"[[143.32996 244.3807 ]
 [179.71573 246.9797 ]
 [178.68527 261.40613]
 [142.2995  258.80713]]"
soee,"[[187. 248.]
 [222. 248.]
 [222. 258.]
 [187. 258.]]"
