text,bbox
nnunag,"[[264.99997   32.999996]
 [346.99997   32.999996]
 [346.99997   47.999996]
 [264.99997   47.999996]]"
eausme,"[[230.        32.999996]
 [354.        33.      ]
 [354.        65.999985]
 [230.        65.999985]]"
530,"[[156.3708   32.28029]
 [226.56279  34.17737]
 [225.67519  67.01824]
 [155.4832   65.12116]]"
tzo0,"[[ 70.  39.]
 [145.  39.]
 [145.  62.]
 [ 70.  62.]]"
sggo0,"[[118.344025  81.51875 ]
 [284.68414   85.21521 ]
 [283.25027  149.7389  ]
 [116.91017  146.04245 ]]"
craftoman,"[[ 33. 166.]
 [158. 166.]
 [158. 191.]
 [ 33. 191.]]"
lithumolon,"[[223.13663 165.21292]
 [368.30246 167.7597 ]
 [367.86893 192.4714 ]
 [222.7031  189.92462]]"
v20,"[[175. 167.]
 [222. 167.]
 [222. 189.]
 [175. 189.]]"
combo,"[[172.1038  189.04633]
 [256.2791  190.30267]
 [255.90761 215.19266]
 [171.73232 213.93631]]"
dnidnvex,"[[ 34.078293 190.14642 ]
 [170.25255  192.3428  ]
 [169.86894  216.12695 ]
 [ 33.694683 213.93057 ]]"
kit,"[[258.62473 189.54434]
 [304.03812 193.93918]
 [301.71542 217.94022]
 [256.30203 213.54538]]"
10,"[[ 33. 216.]
 [ 76. 216.]
 [ 76. 239.]
 [ 33. 239.]]"
po,"[[ 78. 216.]
 [117. 216.]
 [117. 237.]
 [ 78. 237.]]"
245,"[[147.99998 216.     ]
 [194.99998 216.     ]
 [194.99998 238.     ]
 [147.99998 238.     ]]"
po,"[[195. 216.]
 [229. 216.]
 [229. 238.]
 [195. 238.]]"
or,"[[119. 218.]
 [147. 218.]
 [147. 237.]
 [119. 237.]]"
nechamics,"[[ 33. 240.]
 [168. 240.]
 [168. 264.]
 [ 33. 264.]]"
toal,"[[170. 240.]
 [224. 240.]
 [224. 264.]
 [170. 264.]]"
set,"[[227. 240.]
 [268. 240.]
 [268. 264.]
 [227. 264.]]"
wen,"[[108. 268.]
 [136. 268.]
 [136. 283.]
 [108. 283.]]"
mted,"[[136.50519 269.13443]
 [175.90845 267.61893]
 [176.4786  282.44315]
 [137.07535 283.95865]]"
pulld,"[[203. 268.]
 [251. 268.]
 [251. 283.]
 [203. 283.]]"
